,domain,subclass
229,cyqnjequckumivn,1
230,ojvktlnjwoamtscfaxwxsugpj,2
231,aycutwcuqlbmmncyhipbibbmlge,2
232,mxysqentvtwgx,1
233,gmnqwwguvabaupjprlsktkk,2
234,1fh4lo91o29tbq1g38dkg1a3wpn,3
235,pxdqcirwwoqlzxlbhsvclzvc,2
236,cmaofaqfemheao,1
237,1qfolwux6vk4l16qdd1696um8r,3
238,gtppxpainibgl,1
239,ynomfqphtsmys,1
240,tacsstdsuaxb,1
241,h7844jatd4we6vuqxz1ovtxs,3
242,geppnd11f3n6f1khf1h1axvtpd,3
243,rgzlqgphmvccuqwpfbyzdwowtspz,2
244,fsfhimbhaisfwg,1
245,16gtdnjgvahcak594u5traj8o,3
246,trektbpipuda,1
247,djvqgdrsjtcvrws,1
248,aaa2vm1dslxr01fwsvvg5xap9s,3
249,yxorvoylpfipgyrwhezpincqcyuo,2
250,rn47s1dkgl6i1b5jd81yrmnch,3
251,hbhggrbmpxvvsr,1
252,18xdsa1101qotf17qjby71yczjj7,3
253,nadplgjslypekin,1
254,jjwjghyjglyhxqv,1
255,pvhfjbaoxphr,1
256,utxlusktkwexqyj,1
257,1yi7pn4tmndbk1d6vb0fmojaip,3
258,nxhdnlxesmren,1
259,bllkimeybvdofj,1
260,byxscqzhzxypinqodqqkpjl,2
261,kaamgjcymtew,1
262,hofjbqmhpdcbg,1
263,n2mrle1phvr2911pzbc61jlpic6,3
264,lfzlfiaiqslzoqvktwwklzphon,2
265,xnieyaatbqkeea,1
266,bpcrqbigvywyet,1
267,mnwsqsynqgwff,1
268,ainertrphkvo,1
269,soipnfdadibda,1
270,lgqskfiavcdqmjzttrkmjhhnv,2
271,13sz3e9b0k71dv7i2u7vfu2rh,3
272,bojhqifjzonxkhtpzhinjzp,2
273,kp8x3z1ergcaaehm5b734bwlz,3
274,cwznd0zmgtwmzmqjyn1u6yjv6,3
275,xjeog699551h1f0wu9d1jbrh5e,3
276,xoc6oer8zy1e66c8yac8mjon,3
277,l7cymg1nwqkqzvo892s1quc5u8,3
278,3u5wzp7ts0ul1qpunml1eort4j,3
279,ojhdqkvceokbwgrsirtukpzwcci,2
280,djssyyaaaicakr,1
281,2ttuozhpctvo1u5acl04sqror,3
282,4p606ot6ffbg1119x5igbt7h4,3
283,rwcmnfdydyzlrleiojthqpflj,2
284,mljdpjxanfho,1
285,ectvqallukoewoa,1
286,7zjkd91ayj1x64ueapd1jyaft9,3
287,gmtontohmljxiribcipygmyfmhu,2
288,rfmayrsabauxrgp,1
289,iubvjnlwbmcbjw,1
290,raionxfpswvyj,1
291,jbfwavbmmaamhr,1
292,bippgskxmuxdd,1
293,wxaxvunwxfipo,1
294,andgrforhohwrha,1
295,xrcjtkumtjfyb,1
296,kdgue1k3iro4y5sbje1qzq91n,3
297,inhwceixfixbejfblnbypruk,2
298,dvwzhobzlealrmbtcuwpvkizlnr,2
299,waaotcuigmucorq,1
300,dh675wvm6emf14ns7cco1191u,3
301,kaebcrmvewjxhbt,1
302,qfxpkwvdexjg,1
303,poxqvhplfbjw,1
304,1n9ceckf855c51xq5vpp2alu2w,3
305,dqvpnrylxlvbytszxcdqhqobi,2
306,10ttrc5ti0ybb3zy6yxfa0us1,3
307,xjhgihymucegvjs,1
308,tzoh7h4oeiwhlgeg3n1rdklp4,3
309,uwuowkbtcefaifonqkvgdkfni,2
310,bhjdlyopgcwh,1
311,1g4ocw41qo31g7lov7tj19q7suj,3
312,qicahevwzxscqwtghhiovlnjfxw,2
313,wpnennasqxukw,1
314,trhpdejihukqjv,1
315,16bntrj13wdjlb1phpeyl68t7rl,3
316,gacivwwctdaxopvlbzhhygescxciiz,2
317,vmsupfgfguqgn,1
318,r954dl1fv9jc3civjvb1iqjpp3,3
319,balgopgnsgsxqh,1
320,effdujkwwobsxt,1
321,shfhbwmebumhc,1
322,fautvynetunox,1
323,kgejjvqurswu,1
324,17qdkd4zii0hpvjln9ra6hou8,3
325,adicbqjncbse,1
326,ofcxlybtofglm,1
327,xuwkpbnouuaivh,1
328,xapaqaanyvuxxop,1
329,oxpifaxqemjiogc,1
330,yaiyhoykpqshl,1
331,1w1fupzaixh5drl2v4qwe8gcs,3
332,rasfxcpbaqax,1
333,shcojhloduatju,1
334,ycvstvnupguh,1
335,1w1ytcu140vklikwpsg71dhhzhe,3
336,ifrjfnjtkcywocymjypzpzlaesw,2
337,fsogymhjpisj,1
338,1dzmx14rl8nadpzed8chhlfsw,3
339,npkayjbacijiycf,1
340,dhjqpwqnsoaosbw,1
341,oqlqs37f9vpr152z8d7pxadoa,3
342,btrxbgcvlptxj,1
343,xhyrcqnrcusgovrnvqwnzydkvvk,2
344,1x130yo1ba3yfq1h5uu5e1kc0ndx,3
345,uksoogxgypeqaikzmrljxbmhds,2
346,utajwviptwkdw,1
347,ashklvnvkqakc,1
348,vvndbvossjxauo,1
349,ksnqer1gq5ibcy6p8fu87d0s3,3
350,jbfxh31rt760m18cuv3n9ln9b3,3
351,1d30dp0g7t8kgujpiuxepljmo,3
352,fakpkh1fl50z1u8mjuk1nn3xrf,3
353,rdfclhysogji,1
354,5kb5mqfqhg20k9mou71bbmgpw,3
355,krmjuf1jq67pn1ecr80e1lbl24k,3
356,w1ljv51uz3hgx1pxtipl1k9quvx,3
357,ixbwwnhxaynfub,1
358,opucidwqmihd,1
359,14flsbt7fxa7dbfp83ebjcxmn,3
360,kenywvdswcqps,1
361,jhbpanlpxuyxk,1
362,ypjwhomhmguqyhf,1
363,ycanlwoevelmgde,1
364,vdxcctxtfutdn,1
365,oqosujfouflplf,1
366,pvnrrqmhtfnr,1
367,tcrxew18aebp9yrpodu10nqb1h,3
368,jfrgdysucgehembldmfyhlzd,2
369,pzonciqchrkrhiscaihdytn,2
370,lvtngeaknjbhtf,1
371,18zwf9585d6v31gtuur78kaujr,3
372,xgcqvoucqpgemofhrtwbucp,2
373,egnmur1ffbac11x0v9p916mxhvr,3
374,qwkevcnjjeclc,1
375,dylbcspmdufxiky,1
376,10fpxg2onl3bf1nssypa1aocqxv,3
377,1jljc2b9qpzfc1pwymm81u7l2fx,3
378,1twrlalbd3laznqy9i1eh1tlh,3
379,rdmydhavrobd,1
380,snwvjeaqxsfwj,1
381,vfuqobcxyirf,1
382,iifiywybqkisu,1
383,cvxtkkspfupidh,1
384,fzvnt44d32cp1lx1s2e1j232p5,3
385,kvcayxyxdamrqsxcaemmvhlftsl,2
386,dalbjnllrkbrcbaknxscypvoplf,2
387,amlllwfnbmssoa,1
388,n95tlu127mk2teycltn1bvmq11,3
389,exhtpubchhnimc,1
390,1liofbh1ix2bf21clvggi1a5tvod,3
391,fq6ohj1mn5ce01osyzz3cqk7nw,3
392,fbjtnekxrgnqvm,1
393,uetiunsccdehiua,1
394,drfgaemfmbdtpye,1
395,hdkklkqqxuekn,1
396,o8sz4u1g2ev3f17w2biwl3n8td,3
397,eipekalkqdfg,1
398,knnbdzddyrshfurkxuoydqaq,2
399,filplplvlnovnrdduxcarmb,2
400,z2eyxz2hdse7ra7k4666zm0s,3
401,scosrosiltdkkjy,1
402,c433ur1erd2mz12tng64lyt0h9,3
403,nglggqkxtjlb,1
404,kjxupujirped,1
405,owgxleakvajps,1
406,8yue6bnmk4f86blxok188lag3,3
407,pqwurhrdavgi,1
408,vonzhzpqcwsjvzladitbypf,2
409,qkfvgcabaxsgvkrxvwdgakzusdi,2
410,gwpegvqrxtiuroi,1
411,mnuwgalrtobyhinvfyvlvtdn,2
412,dlyqwlccnkdw,1
413,cbmnzcqnvheqknvbutlfgqpvskd,2
414,dhdoqtfjokypd,1
415,kuifswbbcduybk,1
416,btqedimeweqhyq,1
417,uylyriwskonkx,1
418,uqherbxxdgtkl,1
419,lkukmybjbuhyr,1
420,xlrljrmrlepqjd,1
421,tbqciljpkfqclrtcydyfumfe,2
422,luagykbkixcqs,1
423,1pwjdko13l642t1lj0ln816s520l,3
424,gdybyayseeqi,1
425,wibkomdrgkyjlw,1
426,vpufpvojdnphbqq,1
427,pqtegskmatxhou,1
428,futiiegbynhgacs,1
429,bfupwdwxlbvv,1
430,tj18dd1taw5ap153whfx14vroq,3
431,1pxwu1lpwewo115harzeteei4y,3
432,mxueyxbevufoyd,1
433,nwcrrgjqjodlyyy,1
434,1eei3qg1ylawss1ygqyt9bcr94r,3
435,anrcxpmwxftlsa,1
436,mbeuvghinrtkvsltwvskvnzxwsk,2
437,ystnebrvnhdoaek,1
438,ewdajofqytbw,1
439,leyhinamvcuaygtuowkjfypyh,2
440,vygkxmsxkggtg,1
441,lljtrxqygsvmrw,1
442,vaxjjpqlctrsj,1
443,arskhuvocebeooc,1
444,xmvplrcphlhi,1
445,17l8zhe1cttfbv5avgvqr08p,3
446,biejcafeuihr,1
447,1iw1vdb13cdfo01py4u87b1e5b0,3
448,1a8phavoz6ytw16jm9cv1mdfo6i,3
449,13t1lnkua6etgp20baf1l5tcbj,3
450,sxymuyinqyjns,1
451,8fnsxdc5fav1yxnks1ejn3w6,3
452,ywkdcxpjevgbmnbteqpzhlzrg,2
453,labljsebuffnbvl,1
454,yucxraedknbos,1
455,tojfmxpltzhkzvkqksohmijrcuw,2
456,blwcsfhenjce,1
457,rsevnuwebnewj,1
458,1xrvprj787j981e6kdgm1njhheq,3
459,xxauddofpdionfmdzhpdaknjz,2
460,1knmvo0lhbui2139oryubonkvs,3
461,kywlicircjmdoan,1
462,qg74ka1e8v1wz8i2rlftnm2xx,3
463,hfmbhusqdxrkala,1
464,lfgbqjuogwgb,1
465,npgtbrgjqupkdhq,1
466,jaesanlhqyplq,1
467,tlcabsacyuiscww,1
468,uk8b1ihxfs971tkicgo1thmpm5,3
469,gvtmurfbbpgfvg,1
470,kgjfbmeqnmvepoj,1
471,1ipwdsobh4ed419ma3k35qj21c,3
472,l7qn8pqidpidaoakj7clvaqx,3
473,pbkrgiyamaqorceinrhewsxs,2
474,shjilayemgtfi,1
475,lbannyyvkkvfw,1
476,gyldmpsvjgpo,1
477,lwwqpcvhdguttcc,1
478,mfdvyutcdrdju,1
479,np89v619d6ucqzqv41h1ojnf9h,3
480,hwkasnfslmmd,1
481,ucsrsmjfdmahvg,1
482,hozrn895uclu85u6ex1h4508z,3
483,19q7dxu60wq5r1heqds1hw85kq,3
484,hgwbvkcawkplve,1
485,ebxbkyjlfvdm,1
486,bblvycpdcwggg,1
487,yhhqjbvokrcorzmbtkypozaobwglj,2
488,tsivbidjnbepzzlfutwhqnvvwuk,2
489,euzpdxgfmdkncagedyxcijca,2
490,iaxsvfhvxkwpelr,1
491,fwvrngbssuqf,1
492,darusdfwpojiju,1
493,mqoilurnfehfqs,1
494,vdpnqcxtfvvs,1
495,hqmmyierxwemak,1
496,gubrfayfwlcfofc,1
497,xwgyhfemxgajnpjslozaqpzl,2
498,guifpcqtlrzxwodlfqpnuojfpcm,2
499,paamqlyekxer,1
500,9w0e00a5a0ltnxfhe2199xcj6,3
501,ncgwpjbvdnco,1
502,1szkyokbv4b3z3med8w1t3jrpf,3
503,qhnrljxkvgxcuemqrcrxcalvyl,2
504,yqkpvuxwerko,1
505,utjujigjynby,1
506,rbevdsmqujiyiv,1
507,txosfsamwlyyoce,1
508,juglydqgpzbljfixwdburs,2
509,vd5vfx1kfv8zap2sdxpiyf679,3
510,ueykgudtmkcia,1
511,pnsoofdypscphudusyxsdelrp,2
512,6myc1gnp8o0gsj5dkjtgkqd1,3
513,udgirhbbcpswqjw,1
514,ylgixkprhtwqowtgjnhtlvof,2
515,ovonulvxosgguuoyxidubajbobpj,2
516,qijgyklskndkq,1
517,1c6h455au8l07geenluduhv9p,3
518,puxuyyyyqjqdg,1
519,uclfxhetgwsgikgqgaszhcusc,2
520,18ikhnf1oizttd1jvrtijw8d5zg,3
521,1jjarmr1c09y7stv9jmy1433hn0,3
522,9maarl1yecxekg3lq5sfpeto,3
523,nrcefaxgaqlzbumjnbeqtormrsgtwam,2
524,ztqgxeiozjvpbylcmwkxwljpd,2
525,kradmsbipisufbn,1
526,nxpythflqyyxduq,1
527,bwnvhmmaciqos,1
528,tswdffeyltwtrqwupvbvgc,2
529,opplke1dme7eytun6i51x36jsh,3
530,ehoyunqwusnv,1
531,rssohqgqbimbxsvoxobmnjbozt,2
532,jvtxgyhizloncytgxdelbtgt,2
533,pgyugortkskjdyeqheytgynzemxd,2
534,1bplgsab85f1s1iki2d019tlnfo,3
535,1ncqmve15xqaku13l0uv9k0mij8,3
536,o3oqk8zxfmizy0w2e418r9ztq,3
537,hmtociytukcljuohvpnbqbu,2
538,xhezkndwgizljxgegqvgaeyq,2
539,xgcjvcsklzlnuwhibpfkvazbq,2
540,19zkcw5i07le1ujzobm1sldd1c,3
541,cmirxnbaeqcfyxfyqjbvslrkz,2
542,x2ub3vu72eog11h86l317m9f9k,3
543,1v3ml2m19hy8us5th8alw1sx3p,3
544,lhrkrnkdhvkm,1
545,vvwsflnrxxdr,1
546,9l6zk61cbwtaq13qn4ts1x5qr3,3
547,hkbrclnhqcmovhirdmbixlyx,2
548,iwlpvrilysiv,1
549,gqrcsphlpmjdrcv,1
550,xfsvqijejpmfj,1
551,rhnattjusmxonf,1
552,gqcfiiblnjrxkxfmnnmjxzrox,2
553,vwkuddgofnnbc,1
554,yljzzttorscpbdyustzxdzplba,2
555,nrmvjhqgranbuw,1
556,jwyvnldxhlaheot,1
557,jtj5n11okqv2c1lqptm617pts5k,3
558,6qeqvc1qp6x9qgcfqakbfg7av,3
559,bqyktphaygfgibt,1
560,13ne4bc131ojkm59z7m61ozzv9r,3
561,1lifsrpi6cj49jreuqv19zhe1v,3
562,1rgefzz1uo9i0zcp66wbrvy7pd,3
563,18801ppfrwzkii2qwcc91d67s,3
564,twlnxttdqlmjgytxo,2
565,qbyaeipwceopww,1
566,1ysb4ymdb6rmp1mopyk91qeq3l4,3
567,kiopm91pqxtx714tki0116chzbu,3
568,xiynwlaqkuoikjv,1
569,dhqnkbfskanov,1
570,k0rbx4myyne81okr7ie1r4w5rz,3
571,rblwvcxuxdmqp,1
572,jlibrhekbcha,1
573,v23krnnurfiott5b95jwsdf0,3
574,lsdvjbordjfjbx,1
575,prmlhqydtsosctsprxojqgpqgg,2
576,eimjudcbtiooa,1
577,ulsbswnbjoqy,1
578,mkjsgghflpxv,1
579,sj42whvzy4kja6m0gj1ygr9qu,3
580,ukrdcyuvonvqr,1
581,pmqmrycqolbtmdb,1
582,vn4oc2sdhf79bbbeecgf1bzg,3
583,toauythmzuxksxgqxbmswyx,2
584,knsoxckqxourmok,1
585,l69z359opjapa9by2y1ax4r4m,3
586,gs7ii11c9nlrg14h9sfjq5465j,3
587,clspdvursrny,1
588,umfrwhmlqjhg,1
589,t8ob9pd77mhxbjqt6f2zmik,3
590,qotsozpcuspbhakzdyifhpofpug,2
591,ytnhxtmcjsyjki,1
592,osbpbwfxciccgsi,1
593,1q11k1713lxe1ryiq376c8b7ia,3
594,efpferfvfsfss,1
595,uybgvglusamqs,1
596,ohpari1expq86ltk5y6lx1hwr,3
597,8tfgjx1qoil4nh85c9zrnjlfq,3
598,bkmenjvtiftuap,1
599,eaprtksdmxogybmjvhcmtceheyxw,2
600,jhgvlgdvbigdqs,1
601,haulthmeylpl,1
602,aynvaeqdcyphtgauhehtsgpn,2
603,srvigdiolyiuoj,1
604,hwfkwpyljhasen,1
605,hvptskscdevt,1
606,gteyatkjmjjn,1
607,aqvgvsgqdjnmfheqwkbqxwdbqdm,2
608,gwmx97138gdli1tfr3jd13jh8a9,3
609,njlnercsepgtnk,1
610,khvasxjnthhli,1
611,1bu0m7r11p8lzergeenu14ll56h,3
612,1lk68utrm7xaysf7xn71gicr50,3
613,jhp36kzy2wfe1cejt2iz2zhi3,3
614,mwqtktqxvajd,1
615,sibocraahrra,1
616,rhtstgkffmzdwkgueizpscirxsin,2
617,aqxuveqsjmliwh,1
618,znrvgfiypaqingulrtprxkcyfmxs,2
619,mgkvwqwrgqxfqyd,1
620,12ttoxk1k9nept19gi2islmay5,3
621,tcjcdriqhlrn,1
622,qiukvaiffgwfa,1
623,mrzdtorslvkjyxguhuvwddmkrvw,2
624,jbihwpvrvnxvdn,1
625,9xn03d1lhb49u1178oxr1ioo9i3,3
626,vrbwtxuicbrn,1
627,1vp7vmw12cywc11mi5l671eejah8,3
628,vfipbdqdlfqclzmbkjpmfnrcuhx,2
629,wxgukwbmncnmw,1
630,14oyty0giuco2bw428i1jjr9f0,3
631,ivcqhypzduktnbdmmzizmzbmzttwfe,2
632,75gancln5de81pw2mv21x17yqm,3
633,1l6hyrugq40u71eg2pmp1msb3ga,3
634,nilvnv1l14xbk12hnxcv1chkor0,3
635,qsufwacrvymluu,1
636,cvo6381bco1drevok8s1xq8ojx,3
637,yxokuviqdcfg,1
638,twdrhnqubqwyj,1
639,cpaomogqhdvrrv,1
640,iveihtpbovaofwmnhpnxgyqw,2
641,lbgaqvhjdgdot,1
642,8hpfs61j7fng3phgfqn1xg6fb4,3
643,2brbx819eyynd1f5zy7fubfrrp,3
644,auquqrhkfqqxhu,1
645,uabcsqkcdnwls,1
646,ujfqasnrkbvao,1
647,qmwpabjrieev,1
648,xcsbqndwcctmm,1
649,papxqbnokfdbrf,1
650,qguwpcckmbusfw,1
651,jyjlamljxvaugiq,1
652,1yx449z1g81ytb6x7ti110hkya8,3
653,zf84yq6oymf3kt078fnrqhcs,3
654,xb27pcqjbyuf3l0ylx1da2qgu,3
655,kvvoxpsdalqwfelduobpxk,2
656,egpowleikxgl,1
657,im0eo6grwsif1y5ih029bcjx,3
658,lbxvk51voejxvty3ylm7shspp,3
659,jqoidjmelsvon,1
660,avxruvxaffgqe,1
661,oumdajldeaken,1
662,eqkbzmvmjkfcgeijscxxsoeuxrc,2
663,weumurltihrh,1
664,1ozvt6f3dvnfn1guubfza2axih,3
665,1xi3id7pdx4e1im4wys13woveu,3
666,ikepcuvefyjpt,1
667,1mc7gan112yfyomwgujx1rtrgeh,3
668,sdapdjrmocqs,1
669,wyglwl10vfcyeegcm16awm585,3
670,n0fza91qx9o8h1yk8xir2o93v1,3
671,psigwgsqqptrlxr,1
672,qdrni61imyp5wx4f4acy81e60,3
673,kronmrqoroeuitkudytxvgy,2
674,xltctplwalzxcsxswnbau,2
675,mnxofuohiljdurshqzyxmnqyp,2
676,hajqcwrurwkr,1
677,14a05571tfgairezy8721fgbqlt,3
678,idcpvxqlyrtrqak,1
679,sggqojfynjpvvshmovhpmfqyhtx,2
680,bcsylokfscqrqaj,1
681,jjjklrexnvapsx,1
682,eqofgegephizuocyydpfpqoaepbbi,2
